@relation 'RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R4,8_clustered'

@attribute Instance_number numeric
@attribute ﻿Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {0,1}
@attribute Fare {0,1,2,3}
@attribute Has_Cabin {0,1}
@attribute FamilySize {1,2,3,4,5,6,7,8,11}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
94,0,1,1,3,1,1,cluster0
95,0,3,1,0,0,1,cluster2
96,0,3,0,1,0,2,cluster1
97,1,3,1,2,0,3,cluster1
98,1,3,1,0,0,1,cluster2
99,1,2,0,2,0,2,cluster1
100,1,1,0,2,1,1,cluster0
101,0,3,0,3,0,6,cluster1
102,1,1,1,3,1,2,cluster0
103,1,3,0,0,0,1,cluster2
104,0,3,0,0,0,1,cluster2
105,0,3,1,0,0,1,cluster2
106,0,3,1,0,0,1,cluster2
107,0,3,1,3,0,5,cluster1
108,1,3,0,0,0,1,cluster2
109,1,3,0,2,1,3,cluster1
110,0,3,1,0,0,1,cluster2
111,1,3,0,0,0,1,cluster2
112,0,3,1,3,0,6,cluster1
113,0,3,1,1,0,1,cluster2
114,0,3,1,0,0,1,cluster2
115,0,3,1,1,0,1,cluster2
116,0,1,1,3,1,3,cluster0
117,1,3,0,0,0,1,cluster2
118,0,3,1,2,0,3,cluster1
119,1,1,0,2,1,3,cluster0
120,1,3,1,2,0,3,cluster1
121,0,3,1,0,0,1,cluster2
122,0,3,1,0,0,1,cluster2
123,0,3,1,0,0,1,cluster2
124,0,3,1,2,0,2,cluster1
125,0,3,1,0,0,1,cluster2
126,0,3,1,0,0,1,cluster2
127,1,2,0,2,0,2,cluster1
128,0,3,0,1,0,3,cluster1
129,1,1,0,3,1,2,cluster0
130,1,3,1,1,0,2,cluster2
131,0,3,1,2,0,1,cluster2
132,1,3,0,2,0,3,cluster1
133,1,1,1,3,1,2,cluster0
134,0,3,1,0,0,1,cluster2
135,0,3,1,0,0,1,cluster2
136,0,3,1,0,0,2,cluster2
137,1,2,1,1,0,1,cluster2
138,1,2,0,1,0,1,cluster2
139,1,1,0,3,0,3,cluster0
140,0,3,0,1,0,2,cluster1
141,0,1,1,3,1,1,cluster0
142,1,3,0,0,0,1,cluster2
143,1,3,0,0,0,2,cluster2
144,1,1,0,3,1,1,cluster0
145,0,1,1,3,1,1,cluster0
146,1,3,0,0,0,1,cluster2
147,0,1,1,2,1,1,cluster0
148,1,3,1,1,1,2,cluster2
149,0,3,1,0,0,1,cluster2
150,1,1,0,3,1,2,cluster0
151,0,2,1,2,1,3,cluster1
152,1,3,1,1,0,2,cluster2
153,1,1,1,3,1,2,cluster0
154,0,3,1,0,0,1,cluster2
155,0,3,1,1,0,1,cluster2
156,0,2,1,1,0,1,cluster2
157,0,1,1,3,1,2,cluster0
158,1,3,0,1,0,1,cluster2
159,0,1,1,3,0,2,cluster0
160,0,3,1,1,0,1,cluster2
161,0,3,0,0,0,1,cluster2
162,1,3,0,1,0,2,cluster1
163,0,3,1,0,0,3,cluster2
164,0,2,1,1,0,1,cluster2
165,0,3,0,2,0,3,cluster1
166,0,3,1,0,0,1,cluster2
167,0,3,1,0,0,1,cluster2
168,0,3,1,2,0,1,cluster2
169,0,3,1,0,0,2,cluster2
170,1,1,0,3,1,2,cluster0
171,0,3,1,0,0,1,cluster2
172,0,3,1,0,0,1,cluster2
173,0,3,1,0,0,1,cluster2
174,1,3,0,2,0,3,cluster1
175,0,1,1,2,1,1,cluster0
176,1,1,0,3,1,1,cluster0
177,0,3,1,1,0,1,cluster2
178,0,1,1,3,1,6,cluster0
179,1,2,0,2,0,2,cluster1
180,0,2,1,2,0,2,cluster1
181,1,2,0,2,0,3,cluster1
182,0,3,1,0,0,1,cluster2
183,1,1,0,3,1,1,cluster0
184,0,3,1,2,0,5,cluster1
185,0,3,1,2,0,1,cluster2
186,0,3,1,1,0,1,cluster2
187,0,3,1,2,0,1,cluster2
188,0,2,1,1,0,1,cluster2
189,1,3,0,0,0,1,cluster2
190,0,2,1,1,0,1,cluster2
191,0,3,1,1,0,1,cluster2
192,0,3,1,0,0,1,cluster2
193,1,3,1,1,0,1,cluster2
194,0,3,1,0,0,2,cluster2
195,0,2,1,0,0,1,cluster2
196,0,3,1,0,0,1,cluster2
197,1,1,1,3,1,2,cluster0
198,1,1,0,3,1,1,cluster0
199,0,3,1,0,0,1,cluster2
200,0,3,1,1,0,1,cluster2
201,1,1,0,3,0,1,cluster0
202,1,3,1,1,0,1,cluster2
203,0,3,1,0,0,1,cluster2
204,1,3,1,0,0,1,cluster2
205,0,2,1,1,0,1,cluster2
206,0,3,1,0,0,1,cluster2
207,1,2,0,1,1,1,cluster2
208,0,3,0,0,0,1,cluster2
209,1,1,0,3,1,6,cluster0
210,1,1,1,2,1,1,cluster0
211,0,3,1,3,0,8,cluster1
212,0,3,0,2,0,2,cluster1
213,0,3,0,3,0,11,cluster1
214,0,3,1,1,0,1,cluster2
215,1,1,0,3,1,2,cluster0
216,0,3,1,2,0,2,cluster1
217,1,3,0,2,0,2,cluster1
218,1,3,1,1,0,2,cluster2
219,1,1,0,3,1,1,cluster0
220,1,2,0,2,0,3,cluster1
221,1,2,0,2,0,3,cluster1
222,0,3,1,0,0,1,cluster2
223,1,1,0,3,1,2,cluster0
224,0,2,1,3,0,3,cluster1
225,0,3,1,0,0,1,cluster2
226,1,2,0,2,0,2,cluster1
227,1,3,1,0,0,1,cluster2
228,0,3,1,0,0,1,cluster2
229,0,3,1,0,0,1,cluster2
230,1,3,1,0,0,2,cluster2
231,1,2,0,2,0,2,cluster1
232,0,2,1,1,0,1,cluster2
233,1,2,0,3,0,3,cluster1
234,0,3,1,3,0,8,cluster1
235,1,3,1,2,0,1,cluster2
236,0,2,1,2,0,1,cluster2
237,0,2,1,3,0,1,cluster2
238,1,1,0,3,1,1,cluster0
239,0,2,1,1,0,2,cluster2
240,0,2,1,1,0,1,cluster2
241,1,2,0,2,0,3,cluster1
242,0,3,1,2,0,1,cluster2
243,0,3,1,0,0,2,cluster2
244,1,1,0,3,1,6,cluster0
245,0,3,1,1,0,1,cluster2
246,1,3,0,2,0,2,cluster1
247,0,3,1,0,0,1,cluster2
248,1,1,1,2,1,1,cluster0
249,0,2,1,1,0,1,cluster2
250,0,3,1,0,0,1,cluster2
251,0,3,1,0,0,2,cluster2
252,0,3,1,0,0,1,cluster2
253,0,3,0,2,0,6,cluster1
254,1,3,0,2,0,4,cluster1
255,0,3,0,2,0,3,cluster1
256,1,3,1,3,0,1,cluster2
257,1,1,0,3,1,2,cluster0
258,0,3,1,0,0,1,cluster2
259,0,3,1,3,0,11,cluster1
260,0,3,1,0,0,1,cluster2
261,0,2,1,2,0,2,cluster1
262,1,3,0,2,0,3,cluster1
263,0,2,1,1,0,1,cluster2
264,1,3,0,1,0,1,cluster2
265,1,3,1,2,0,3,cluster1
266,0,1,1,2,1,1,cluster0
267,0,3,1,0,0,2,cluster2
268,0,3,0,1,0,1,cluster2
269,0,3,1,0,0,1,cluster2
270,0,3,1,0,0,1,cluster2
271,0,2,1,1,0,1,cluster2
272,1,1,0,3,1,3,cluster0
273,0,3,0,2,0,3,cluster1
274,0,3,1,1,0,1,cluster2
275,0,3,0,2,0,2,cluster1
276,0,1,1,2,0,1,cluster0
277,0,3,1,0,0,1,cluster2
278,0,3,0,1,0,1,cluster2
279,0,1,1,3,1,2,cluster0
280,1,1,1,2,1,1,cluster0
281,1,1,1,2,1,1,cluster0
282,0,2,1,3,0,2,cluster1
283,0,3,1,3,0,7,cluster1
284,0,3,1,1,0,1,cluster2
285,0,3,0,3,0,7,cluster1
286,0,3,1,1,0,1,cluster2
287,0,3,1,2,0,2,cluster1
288,1,1,1,2,1,1,cluster0
289,0,2,1,1,0,1,cluster2
290,1,3,0,1,0,1,cluster2
291,1,1,0,3,1,3,cluster0
292,0,2,1,1,0,1,cluster2
293,1,3,0,0,0,1,cluster2
294,0,3,1,1,0,1,cluster2
295,0,2,1,1,0,1,cluster2
296,1,1,1,2,1,1,cluster0
297,0,3,1,0,0,1,cluster2
298,1,1,0,3,0,1,cluster0
299,0,3,1,0,0,1,cluster2
300,1,3,0,2,0,4,cluster1
301,0,3,1,1,0,1,cluster2
302,0,3,1,0,0,1,cluster2
303,1,1,1,3,1,1,cluster0
304,1,2,0,2,0,1,cluster1
305,0,1,1,3,1,1,cluster0
306,1,1,0,3,1,2,cluster0
307,1,2,0,1,1,1,cluster2
308,1,1,0,3,0,2,cluster0
309,0,3,1,3,0,6,cluster1
310,1,1,0,3,1,3,cluster0
311,0,1,1,2,1,1,cluster0
312,0,2,1,1,0,1,cluster2
313,1,1,0,3,1,2,cluster0
314,0,3,1,0,0,1,cluster2
315,1,1,0,3,1,1,cluster0
316,1,1,0,3,0,1,cluster0
317,0,2,1,1,0,1,cluster2
318,0,2,1,1,0,1,cluster2
319,0,3,1,0,0,1,cluster2
320,1,2,0,1,0,1,cluster2
321,0,3,0,2,0,5,cluster1
322,0,1,0,2,1,1,cluster0
323,0,1,1,3,1,2,cluster0
324,0,2,1,1,0,1,cluster2
325,0,3,1,0,0,1,cluster2
326,0,3,1,0,0,1,cluster2
327,0,3,1,0,0,1,cluster2
328,1,3,0,1,0,3,cluster1
329,0,3,1,0,1,1,cluster2
330,0,3,1,1,0,1,cluster2
331,0,3,0,2,0,6,cluster1
332,1,1,1,2,1,1,cluster0
333,1,3,0,0,0,1,cluster2
334,0,2,1,1,0,1,cluster2
335,0,3,1,1,0,1,cluster2
336,0,3,0,2,0,4,cluster1
337,0,3,1,0,0,1,cluster2
338,0,3,0,2,0,3,cluster1
339,0,3,0,0,0,1,cluster2
340,0,1,1,3,1,1,cluster0
341,0,3,1,2,0,3,cluster1
342,1,3,1,2,0,4,cluster1
343,1,3,1,0,0,1,cluster2
344,0,3,1,0,0,1,cluster2
345,0,3,0,2,0,6,cluster1
346,0,1,1,3,1,2,cluster0
347,1,1,0,3,1,2,cluster0
348,0,3,1,1,0,1,cluster2
349,0,3,1,0,0,1,cluster2
350,0,3,1,0,0,1,cluster2
351,0,2,1,3,0,3,cluster1
352,1,2,0,1,1,1,cluster2
353,0,1,1,2,1,2,cluster0
354,0,3,1,1,0,1,cluster2
355,0,3,1,2,0,2,cluster1
356,1,1,1,3,1,1,cluster0
357,0,3,1,1,0,3,cluster2
358,0,1,1,3,0,1,cluster0
359,0,1,1,3,1,2,cluster0
360,1,2,1,2,0,3,cluster1
361,0,3,1,1,0,1,cluster2
362,1,2,1,3,1,4,cluster0
363,0,2,1,1,0,1,cluster2
364,0,3,0,1,0,1,cluster2
365,1,3,0,0,0,1,cluster2
366,1,1,0,3,0,1,cluster0
367,1,3,0,2,0,2,cluster1
368,0,3,1,0,0,1,cluster2
369,0,3,1,1,0,1,cluster2
370,0,2,1,2,0,3,cluster1
371,0,3,1,0,0,1,cluster2
372,0,3,1,0,0,1,cluster2
373,0,1,1,3,1,6,cluster0
374,0,2,1,1,0,1,cluster2
375,0,3,1,1,0,3,cluster2
376,1,2,1,2,0,2,cluster1
377,0,3,0,3,0,7,cluster1
378,0,3,1,3,0,7,cluster1
379,0,3,1,2,0,3,cluster1
380,0,3,1,1,0,1,cluster2
381,1,1,0,3,1,1,cluster0
382,1,1,0,3,1,2,cluster0
383,0,3,1,0,1,1,cluster2
384,0,3,1,0,0,1,cluster2
385,0,1,1,3,1,3,cluster0
386,1,1,1,2,1,1,cluster0
387,0,2,1,2,0,2,cluster1
388,0,3,0,1,0,1,cluster2
389,0,3,0,3,0,7,cluster1
390,0,3,1,2,0,2,cluster1
391,1,1,1,3,1,4,cluster0
392,0,3,1,2,0,2,cluster1
393,0,3,1,0,0,1,cluster2
394,0,3,0,1,0,1,cluster2
395,1,3,0,2,0,2,cluster1
396,0,3,0,2,0,1,cluster2
397,1,1,0,3,1,2,cluster0
398,1,2,1,2,1,3,cluster1
399,1,1,1,2,1,1,cluster0
400,0,3,0,2,0,5,cluster1
401,0,3,1,2,0,5,cluster1
402,0,3,1,0,0,1,cluster2
403,1,3,1,3,0,1,cluster2
404,0,2,1,1,0,1,cluster2
405,1,3,0,1,0,2,cluster1
406,1,3,1,3,0,1,cluster2
407,0,1,1,0,1,1,cluster0
408,0,3,1,1,0,1,cluster2
409,1,1,1,3,1,3,cluster0
410,1,1,1,3,1,4,cluster0
411,0,2,1,2,0,2,cluster1
412,1,1,1,3,1,1,cluster0
413,1,2,0,2,0,3,cluster1
414,1,1,1,3,1,2,cluster0
415,0,3,1,2,0,3,cluster1
416,0,2,1,1,0,1,cluster2
417,0,3,0,3,0,5,cluster1
418,0,3,1,0,0,1,cluster2
419,0,1,1,3,1,3,cluster0
420,1,1,1,3,1,2,cluster0
421,1,3,0,2,0,2,cluster1
422,0,3,1,0,0,1,cluster2
423,0,3,1,2,0,2,cluster1
424,0,1,1,2,0,1,cluster0
425,0,1,0,3,1,4,cluster0
426,0,3,1,2,0,6,cluster1
427,1,2,1,2,0,3,cluster1
428,0,2,1,2,0,2,cluster1
429,0,3,1,1,0,2,cluster2
430,0,1,1,2,1,1,cluster0
431,0,2,1,1,0,1,cluster2
432,1,2,0,1,0,1,cluster2
433,0,1,1,3,1,1,cluster0
434,0,3,1,1,0,1,cluster2
435,0,3,0,2,0,5,cluster1
436,0,1,1,2,0,1,cluster0
437,0,3,0,2,0,5,cluster1
438,0,3,1,0,0,1,cluster2
439,1,1,0,3,1,3,cluster0
440,0,3,1,1,0,1,cluster2
441,1,1,1,2,1,1,cluster0
442,0,3,1,1,0,1,cluster2
443,1,3,1,0,0,1,cluster2
444,0,3,1,3,0,8,cluster1
445,0,2,1,1,0,1,cluster2
446,1,1,1,3,1,3,cluster0
447,0,2,1,3,0,3,cluster1
448,0,3,0,0,0,1,cluster2
449,1,2,0,3,0,2,cluster1
450,0,1,1,3,1,1,cluster0
451,1,1,1,3,1,1,cluster0
452,1,1,0,3,1,3,cluster0
453,0,3,1,1,0,1,cluster2
454,1,2,0,1,0,1,cluster2
455,0,2,1,2,0,1,cluster2
456,1,3,0,1,0,1,cluster2
457,0,2,1,1,0,1,cluster2
458,0,3,1,0,0,1,cluster2
459,0,2,1,3,0,4,cluster1
460,0,3,1,2,0,6,cluster1
461,0,2,1,1,0,1,cluster2
462,0,3,1,0,0,1,cluster2
463,0,3,1,2,0,6,cluster1
464,0,1,1,3,1,2,cluster0
465,1,3,0,0,0,1,cluster2
466,1,3,0,0,0,1,cluster2
467,1,2,0,1,0,1,cluster2
468,0,1,0,3,1,4,cluster0
469,0,2,1,2,0,2,cluster1
470,0,3,0,2,0,2,cluster1
471,1,1,1,2,1,1,cluster0
472,1,3,0,1,0,7,cluster1
473,0,3,1,2,0,2,cluster1
474,1,1,0,3,0,1,cluster0
475,1,2,1,3,0,3,cluster1
476,1,3,1,0,0,1,cluster2
477,0,3,0,3,0,7,cluster1
478,0,2,0,1,1,1,cluster2
479,0,3,0,2,0,2,cluster1
480,0,2,1,2,0,1,cluster2
481,0,2,1,2,0,1,cluster2
482,0,1,1,3,0,1,cluster0
483,1,2,0,1,0,1,cluster2
484,0,1,1,2,0,1,cluster0
485,1,1,0,3,1,2,cluster0
486,0,3,1,1,0,1,cluster2
487,1,2,0,3,0,4,cluster1
488,1,1,0,3,0,2,cluster0
489,0,3,1,1,0,1,cluster2
490,0,3,1,0,0,1,cluster2
491,1,2,0,1,1,1,cluster2
492,1,2,0,2,0,2,cluster1
493,0,3,1,1,0,1,cluster2
494,0,1,1,2,1,1,cluster0
495,1,1,0,3,1,2,cluster0
496,0,3,1,0,0,1,cluster2
497,0,3,0,2,0,6,cluster1
498,1,1,0,3,1,1,cluster0
499,0,3,1,1,0,1,cluster2
500,0,2,1,1,0,1,cluster2
501,1,3,1,3,0,7,cluster1
502,0,2,1,1,0,1,cluster2
503,0,3,1,1,0,1,cluster2
504,0,3,0,3,0,5,cluster1
505,0,3,0,0,0,1,cluster2
506,1,1,0,3,1,1,cluster0
507,0,3,0,2,0,2,cluster1
508,1,2,1,1,0,1,cluster2
509,0,3,1,1,0,3,cluster2
510,1,3,0,0,0,1,cluster2
511,0,3,1,1,0,1,cluster2
512,0,3,1,2,0,3,cluster1
513,0,3,1,2,0,1,cluster2
514,0,2,1,1,0,1,cluster2
515,0,1,1,0,1,1,cluster0
516,0,2,0,2,0,3,cluster1
517,0,3,0,2,0,2,cluster1
518,0,3,1,0,0,1,cluster2
519,1,2,0,2,0,5,cluster1
520,0,3,0,1,0,1,cluster2
521,1,1,0,3,1,3,cluster0
522,0,3,0,0,0,1,cluster2
523,0,3,1,3,0,1,cluster2
524,0,3,1,1,0,1,cluster2
525,0,2,1,1,1,1,cluster2
526,1,1,1,2,0,1,cluster0
527,1,3,0,2,0,2,cluster1
528,0,3,0,2,0,2,cluster1
529,0,2,1,1,0,1,cluster2
530,1,1,0,3,1,1,cluster0
531,0,2,1,2,0,2,cluster1
532,1,2,0,1,1,1,cluster2
533,0,1,1,2,0,1,cluster0
534,1,2,0,2,0,2,cluster1
535,0,3,1,3,0,11,cluster1
536,0,3,1,0,0,1,cluster2
537,0,3,0,0,0,1,cluster2
538,0,1,1,3,0,1,cluster0
539,1,2,0,1,0,1,cluster2
540,1,1,0,3,1,2,cluster0
541,0,3,0,1,0,1,cluster2
542,0,2,1,1,0,1,cluster2
543,1,3,0,2,0,2,cluster1
544,0,3,1,0,0,1,cluster2
545,0,3,1,1,0,1,cluster2
546,1,3,1,0,0,1,cluster2
547,1,3,0,0,0,1,cluster2
548,0,3,1,0,0,1,cluster2
549,0,3,1,0,0,1,cluster2
550,0,2,1,3,0,1,cluster2
551,0,3,1,3,0,8,cluster1
552,0,3,1,0,0,1,cluster2
553,0,3,1,0,0,1,cluster2
554,1,1,0,3,1,2,cluster0
555,0,3,1,1,0,1,cluster2
556,0,1,1,3,1,3,cluster0
557,1,1,0,3,1,2,cluster0
558,0,2,1,1,0,1,cluster2
559,1,3,1,0,0,1,cluster2
560,1,3,0,0,0,1,cluster2
561,1,3,0,2,0,4,cluster1
562,1,1,0,3,1,2,cluster0
563,1,1,0,3,1,2,cluster0
564,1,3,0,2,0,3,cluster1
565,1,3,0,0,0,1,cluster2
566,1,1,1,3,1,2,cluster0
567,1,2,0,1,0,1,cluster2
568,0,3,1,3,0,11,cluster1
569,1,3,0,3,0,7,cluster1
570,1,3,0,1,0,1,cluster2
571,0,1,1,2,1,1,cluster0
572,1,3,0,1,0,1,cluster2
573,1,1,0,3,0,2,cluster0
574,1,1,0,2,1,1,cluster0
575,1,1,1,3,1,1,cluster0
576,0,3,0,2,0,3,cluster1
577,1,2,0,2,0,2,cluster1
578,1,3,0,2,0,3,cluster1
579,0,3,1,2,0,4,cluster1
580,0,3,0,2,0,3,cluster1
581,0,2,1,1,0,1,cluster2
582,1,2,0,2,0,4,cluster1
583,0,2,1,2,0,2,cluster1
584,0,2,0,2,0,2,cluster1
585,0,2,1,1,0,1,cluster2
586,0,1,1,3,1,1,cluster0
587,1,2,0,1,1,1,cluster2
588,0,1,1,2,1,1,cluster0
589,1,3,1,1,1,1,cluster2
590,0,3,1,0,0,1,cluster2
591,1,2,0,3,0,4,cluster1
592,1,2,0,3,0,4,cluster1
593,1,1,0,3,1,1,cluster0
594,0,3,1,0,0,1,cluster2
595,0,3,1,1,0,1,cluster2
596,0,3,0,3,0,8,cluster1
597,0,3,1,2,0,2,cluster1
598,0,3,1,2,0,1,cluster2
599,0,3,0,2,0,2,cluster1
600,1,2,0,2,0,3,cluster1
601,1,1,0,3,1,2,cluster0
602,0,3,1,0,0,1,cluster2
603,1,1,1,2,1,1,cluster0
604,0,3,0,1,0,1,cluster2
605,0,3,0,0,0,1,cluster2
606,1,1,0,3,1,2,cluster0
607,1,3,0,3,0,7,cluster1
608,1,2,0,1,1,1,cluster2
609,1,1,0,3,1,1,cluster0
610,0,1,1,0,0,1,cluster2
611,0,3,0,3,0,7,cluster1
612,1,2,1,1,0,1,cluster2
613,0,3,1,0,0,1,cluster2
614,0,3,1,0,0,1,cluster2
615,0,3,1,0,0,1,cluster2
616,0,3,1,0,0,1,cluster2
617,0,3,1,1,0,1,cluster2
618,0,3,1,2,0,6,cluster1
619,1,1,0,3,1,1,cluster0
620,0,3,1,0,0,1,cluster2
621,1,3,0,0,0,1,cluster2
622,1,3,0,0,0,1,cluster2
623,1,1,0,3,1,5,cluster0
624,1,3,0,0,0,1,cluster2
625,0,3,0,3,0,8,cluster1
626,1,2,0,2,0,3,cluster1
627,0,3,1,2,0,3,cluster1
628,0,2,0,1,0,1,cluster2
629,1,1,0,3,1,1,cluster0
630,1,3,1,0,0,1,cluster2
631,0,3,1,0,0,1,cluster2
632,0,3,1,0,0,1,cluster2
633,0,3,1,1,0,1,cluster2
634,0,3,1,1,0,1,cluster2
635,0,2,1,2,0,2,cluster1
636,0,3,1,0,0,1,cluster2
637,0,2,1,1,0,1,cluster2
638,0,1,1,3,0,1,cluster0
639,0,1,1,0,1,1,cluster0
640,0,3,1,0,0,1,cluster2
641,1,2,0,2,0,2,cluster1
642,1,1,0,2,1,1,cluster0
643,0,3,1,0,0,3,cluster2
644,0,3,1,1,0,3,cluster2
645,1,1,1,3,1,3,cluster0
646,0,3,1,0,1,1,cluster2
647,1,1,1,3,1,3,cluster0
648,0,1,1,2,1,1,cluster0
649,0,3,0,3,0,5,cluster1
650,1,2,0,1,1,1,cluster2
651,1,3,1,1,0,1,cluster2
652,0,3,1,3,0,6,cluster1
653,1,1,0,3,1,2,cluster0
654,1,3,0,0,0,1,cluster2
655,1,2,0,3,0,4,cluster1
656,1,2,0,1,0,1,cluster2
657,0,3,1,1,0,1,cluster2
658,1,3,0,2,0,3,cluster1
659,0,2,1,2,0,1,cluster2
660,0,3,1,0,0,1,cluster2
661,1,1,0,3,1,3,cluster0
662,0,3,1,2,0,2,cluster1
663,0,2,1,0,0,1,cluster2
664,0,2,1,2,0,1,cluster2
665,0,3,1,0,0,1,cluster2
666,1,2,0,3,0,3,cluster1
667,0,3,1,0,0,1,cluster2
668,0,3,1,0,0,1,cluster2
669,0,2,1,1,0,1,cluster2
670,0,3,1,0,0,1,cluster2
671,1,2,0,2,0,1,cluster1
672,1,3,0,2,0,2,cluster1
673,0,3,1,2,0,4,cluster1
674,1,1,1,2,1,1,cluster0
675,1,3,1,1,0,1,cluster2
676,1,3,1,1,0,1,cluster2
677,0,3,1,0,0,1,cluster2
678,0,2,1,3,0,3,cluster1
679,0,3,1,1,0,1,cluster2
680,0,1,1,2,0,1,cluster0
681,1,2,0,2,0,3,cluster1
682,0,3,1,3,0,7,cluster1
683,1,1,1,2,0,1,cluster0
684,1,1,0,2,0,1,cluster0
685,0,3,1,0,0,1,cluster2
686,0,3,0,2,0,3,cluster1
687,0,3,1,0,0,1,cluster2
688,0,3,1,0,0,1,cluster2
689,0,3,1,1,0,1,cluster2
690,1,2,1,1,0,1,cluster2
691,0,3,1,0,0,1,cluster2
692,1,1,1,2,1,1,cluster0
693,0,1,1,2,1,1,cluster0
694,0,1,1,3,1,1,cluster0
695,0,1,1,3,1,1,cluster0
696,0,3,1,1,0,1,cluster2
697,1,1,1,2,1,1,cluster0
698,1,2,0,2,0,3,cluster1
699,1,3,1,1,0,1,cluster2
700,0,3,1,0,0,1,cluster2
701,0,2,1,1,0,1,cluster2
702,1,3,0,0,0,1,cluster2
703,0,1,1,3,1,1,cluster0
704,0,3,1,1,0,1,cluster2
705,1,3,0,2,0,2,cluster1
706,0,3,1,0,0,1,cluster2
707,0,3,1,1,0,1,cluster2
708,0,3,1,0,0,1,cluster2
709,1,1,0,3,1,2,cluster0
710,0,3,1,3,0,6,cluster1
711,1,2,0,1,0,1,cluster2
712,1,1,0,2,1,1,cluster0
