@relation 'RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R4,8_clustered'

@attribute Instance_number numeric
@attribute ﻿Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {0,1}
@attribute Fare {0,1,2,3}
@attribute Has_Cabin {0,1}
@attribute FamilySize {1,2,3,4,5,6,7,8,11}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
257,1,1,0,3,1,2,cluster3
258,0,3,1,0,0,1,cluster2
259,0,3,1,3,0,11,cluster2
260,0,3,1,0,0,1,cluster2
261,0,2,1,2,0,2,cluster0
262,1,3,0,2,0,3,cluster1
263,0,2,1,1,0,1,cluster0
264,1,3,0,1,0,1,cluster0
265,1,3,1,2,0,3,cluster1
266,0,1,1,2,1,1,cluster3
267,0,3,1,0,0,2,cluster2
268,0,3,0,1,0,1,cluster0
269,0,3,1,0,0,1,cluster2
270,0,3,1,0,0,1,cluster2
271,0,2,1,1,0,1,cluster0
272,1,1,0,3,1,3,cluster3
273,0,3,0,2,0,3,cluster1
274,0,3,1,1,0,1,cluster0
275,0,3,0,2,0,2,cluster1
276,0,1,1,2,0,1,cluster0
277,0,3,1,0,0,1,cluster2
278,0,3,0,1,0,1,cluster0
279,0,1,1,3,1,2,cluster3
280,1,1,1,2,1,1,cluster3
281,1,1,1,2,1,1,cluster3
282,0,2,1,3,0,2,cluster0
283,0,3,1,3,0,7,cluster2
284,0,3,1,1,0,1,cluster0
285,0,3,0,3,0,7,cluster1
286,0,3,1,1,0,1,cluster0
287,0,3,1,2,0,2,cluster1
288,1,1,1,2,1,1,cluster3
289,0,2,1,1,0,1,cluster0
290,1,3,0,1,0,1,cluster0
291,1,1,0,3,1,3,cluster3
292,0,2,1,1,0,1,cluster0
293,1,3,0,0,0,1,cluster2
294,0,3,1,1,0,1,cluster0
295,0,2,1,1,0,1,cluster0
296,1,1,1,2,1,1,cluster3
297,0,3,1,0,0,1,cluster2
298,1,1,0,3,0,1,cluster3
299,0,3,1,0,0,1,cluster2
300,1,3,0,2,0,4,cluster1
301,0,3,1,1,0,1,cluster0
302,0,3,1,0,0,1,cluster2
303,1,1,1,3,1,1,cluster3
304,1,2,0,2,0,1,cluster0
305,0,1,1,3,1,1,cluster3
306,1,1,0,3,1,2,cluster3
307,1,2,0,1,1,1,cluster0
308,1,1,0,3,0,2,cluster1
309,0,3,1,3,0,6,cluster2
310,1,1,0,3,1,3,cluster3
311,0,1,1,2,1,1,cluster3
312,0,2,1,1,0,1,cluster0
313,1,1,0,3,1,2,cluster3
314,0,3,1,0,0,1,cluster2
315,1,1,0,3,1,1,cluster3
316,1,1,0,3,0,1,cluster3
317,0,2,1,1,0,1,cluster0
318,0,2,1,1,0,1,cluster0
319,0,3,1,0,0,1,cluster2
320,1,2,0,1,0,1,cluster0
321,0,3,0,2,0,5,cluster1
322,0,1,0,2,1,1,cluster3
323,0,1,1,3,1,2,cluster3
324,0,2,1,1,0,1,cluster0
325,0,3,1,0,0,1,cluster2
326,0,3,1,0,0,1,cluster2
327,0,3,1,0,0,1,cluster2
328,1,3,0,1,0,3,cluster1
329,0,3,1,0,1,1,cluster2
330,0,3,1,1,0,1,cluster0
331,0,3,0,2,0,6,cluster1
332,1,1,1,2,1,1,cluster3
333,1,3,0,0,0,1,cluster2
334,0,2,1,1,0,1,cluster0
335,0,3,1,1,0,1,cluster0
336,0,3,0,2,0,4,cluster1
337,0,3,1,0,0,1,cluster2
338,0,3,0,2,0,3,cluster1
339,0,3,0,0,0,1,cluster2
340,0,1,1,3,1,1,cluster3
341,0,3,1,2,0,3,cluster1
342,1,3,1,2,0,4,cluster1
343,1,3,1,0,0,1,cluster2
344,0,3,1,0,0,1,cluster2
345,0,3,0,2,0,6,cluster1
346,0,1,1,3,1,2,cluster3
347,1,1,0,3,1,2,cluster3
348,0,3,1,1,0,1,cluster0
349,0,3,1,0,0,1,cluster2
350,0,3,1,0,0,1,cluster2
351,0,2,1,3,0,3,cluster0
352,1,2,0,1,1,1,cluster0
353,0,1,1,2,1,2,cluster3
354,0,3,1,1,0,1,cluster0
355,0,3,1,2,0,2,cluster1
356,1,1,1,3,1,1,cluster3
357,0,3,1,1,0,3,cluster0
358,0,1,1,3,0,1,cluster3
359,0,1,1,3,1,2,cluster3
360,1,2,1,2,0,3,cluster0
361,0,3,1,1,0,1,cluster0
362,1,2,1,3,1,4,cluster3
363,0,2,1,1,0,1,cluster0
364,0,3,0,1,0,1,cluster0
365,1,3,0,0,0,1,cluster2
366,1,1,0,3,0,1,cluster3
367,1,3,0,2,0,2,cluster1
368,0,3,1,0,0,1,cluster2
369,0,3,1,1,0,1,cluster0
370,0,2,1,2,0,3,cluster0
371,0,3,1,0,0,1,cluster2
372,0,3,1,0,0,1,cluster2
373,0,1,1,3,1,6,cluster3
374,0,2,1,1,0,1,cluster0
375,0,3,1,1,0,3,cluster0
376,1,2,1,2,0,2,cluster0
377,0,3,0,3,0,7,cluster1
378,0,3,1,3,0,7,cluster2
379,0,3,1,2,0,3,cluster1
380,0,3,1,1,0,1,cluster0
381,1,1,0,3,1,1,cluster3
382,1,1,0,3,1,2,cluster3
383,0,3,1,0,1,1,cluster2
384,0,3,1,0,0,1,cluster2
385,0,1,1,3,1,3,cluster3
386,1,1,1,2,1,1,cluster3
387,0,2,1,2,0,2,cluster0
388,0,3,0,1,0,1,cluster0
389,0,3,0,3,0,7,cluster1
390,0,3,1,2,0,2,cluster1
391,1,1,1,3,1,4,cluster3
392,0,3,1,2,0,2,cluster1
393,0,3,1,0,0,1,cluster2
394,0,3,0,1,0,1,cluster0
395,1,3,0,2,0,2,cluster1
396,0,3,0,2,0,1,cluster1
397,1,1,0,3,1,2,cluster3
398,1,2,1,2,1,3,cluster0
399,1,1,1,2,1,1,cluster3
400,0,3,0,2,0,5,cluster1
401,0,3,1,2,0,5,cluster1
402,0,3,1,0,0,1,cluster2
403,1,3,1,3,0,1,cluster2
404,0,2,1,1,0,1,cluster0
405,1,3,0,1,0,2,cluster1
406,1,3,1,3,0,1,cluster2
407,0,1,1,0,1,1,cluster3
408,0,3,1,1,0,1,cluster0
409,1,1,1,3,1,3,cluster3
410,1,1,1,3,1,4,cluster3
411,0,2,1,2,0,2,cluster0
412,1,1,1,3,1,1,cluster3
413,1,2,0,2,0,3,cluster1
414,1,1,1,3,1,2,cluster3
415,0,3,1,2,0,3,cluster1
416,0,2,1,1,0,1,cluster0
417,0,3,0,3,0,5,cluster1
418,0,3,1,0,0,1,cluster2
419,0,1,1,3,1,3,cluster3
420,1,1,1,3,1,2,cluster3
421,1,3,0,2,0,2,cluster1
422,0,3,1,0,0,1,cluster2
423,0,3,1,2,0,2,cluster1
424,0,1,1,2,0,1,cluster0
425,0,1,0,3,1,4,cluster3
426,0,3,1,2,0,6,cluster1
427,1,2,1,2,0,3,cluster0
428,0,2,1,2,0,2,cluster0
429,0,3,1,1,0,2,cluster0
430,0,1,1,2,1,1,cluster3
431,0,2,1,1,0,1,cluster0
432,1,2,0,1,0,1,cluster0
433,0,1,1,3,1,1,cluster3
434,0,3,1,1,0,1,cluster0
435,0,3,0,2,0,5,cluster1
436,0,1,1,2,0,1,cluster0
437,0,3,0,2,0,5,cluster1
438,0,3,1,0,0,1,cluster2
439,1,1,0,3,1,3,cluster3
440,0,3,1,1,0,1,cluster0
441,1,1,1,2,1,1,cluster3
442,0,3,1,1,0,1,cluster0
443,1,3,1,0,0,1,cluster2
444,0,3,1,3,0,8,cluster2
445,0,2,1,1,0,1,cluster0
446,1,1,1,3,1,3,cluster3
447,0,2,1,3,0,3,cluster0
448,0,3,0,0,0,1,cluster2
449,1,2,0,3,0,2,cluster1
450,0,1,1,3,1,1,cluster3
451,1,1,1,3,1,1,cluster3
452,1,1,0,3,1,3,cluster3
453,0,3,1,1,0,1,cluster0
454,1,2,0,1,0,1,cluster0
455,0,2,1,2,0,1,cluster0
456,1,3,0,1,0,1,cluster0
457,0,2,1,1,0,1,cluster0
458,0,3,1,0,0,1,cluster2
459,0,2,1,3,0,4,cluster0
460,0,3,1,2,0,6,cluster1
461,0,2,1,1,0,1,cluster0
462,0,3,1,0,0,1,cluster2
463,0,3,1,2,0,6,cluster1
464,0,1,1,3,1,2,cluster3
465,1,3,0,0,0,1,cluster2
466,1,3,0,0,0,1,cluster2
467,1,2,0,1,0,1,cluster0
468,0,1,0,3,1,4,cluster3
469,0,2,1,2,0,2,cluster0
470,0,3,0,2,0,2,cluster1
471,1,1,1,2,1,1,cluster3
472,1,3,0,1,0,7,cluster1
473,0,3,1,2,0,2,cluster1
474,1,1,0,3,0,1,cluster3
475,1,2,1,3,0,3,cluster0
476,1,3,1,0,0,1,cluster2
477,0,3,0,3,0,7,cluster1
478,0,2,0,1,1,1,cluster0
479,0,3,0,2,0,2,cluster1
480,0,2,1,2,0,1,cluster0
481,0,2,1,2,0,1,cluster0
482,0,1,1,3,0,1,cluster3
483,1,2,0,1,0,1,cluster0
484,0,1,1,2,0,1,cluster0
485,1,1,0,3,1,2,cluster3
486,0,3,1,1,0,1,cluster0
487,1,2,0,3,0,4,cluster0
488,1,1,0,3,0,2,cluster1
489,0,3,1,1,0,1,cluster0
490,0,3,1,0,0,1,cluster2
491,1,2,0,1,1,1,cluster0
492,1,2,0,2,0,2,cluster1
493,0,3,1,1,0,1,cluster0
494,0,1,1,2,1,1,cluster3
495,1,1,0,3,1,2,cluster3
496,0,3,1,0,0,1,cluster2
497,0,3,0,2,0,6,cluster1
498,1,1,0,3,1,1,cluster3
499,0,3,1,1,0,1,cluster0
500,0,2,1,1,0,1,cluster0
501,1,3,1,3,0,7,cluster2
502,0,2,1,1,0,1,cluster0
503,0,3,1,1,0,1,cluster0
504,0,3,0,3,0,5,cluster1
505,0,3,0,0,0,1,cluster2
506,1,1,0,3,1,1,cluster3
507,0,3,0,2,0,2,cluster1
508,1,2,1,1,0,1,cluster0
509,0,3,1,1,0,3,cluster0
510,1,3,0,0,0,1,cluster2
511,0,3,1,1,0,1,cluster0
512,0,3,1,2,0,3,cluster1
513,0,3,1,2,0,1,cluster2
514,0,2,1,1,0,1,cluster0
515,0,1,1,0,1,1,cluster3
516,0,2,0,2,0,3,cluster1
517,0,3,0,2,0,2,cluster1
518,0,3,1,0,0,1,cluster2
519,1,2,0,2,0,5,cluster1
520,0,3,0,1,0,1,cluster0
521,1,1,0,3,1,3,cluster3
522,0,3,0,0,0,1,cluster2
523,0,3,1,3,0,1,cluster2
524,0,3,1,1,0,1,cluster0
525,0,2,1,1,1,1,cluster0
526,1,1,1,2,0,1,cluster0
527,1,3,0,2,0,2,cluster1
528,0,3,0,2,0,2,cluster1
529,0,2,1,1,0,1,cluster0
530,1,1,0,3,1,1,cluster3
531,0,2,1,2,0,2,cluster0
532,1,2,0,1,1,1,cluster0
533,0,1,1,2,0,1,cluster0
534,1,2,0,2,0,2,cluster1
535,0,3,1,3,0,11,cluster2
536,0,3,1,0,0,1,cluster2
537,0,3,0,0,0,1,cluster2
538,0,1,1,3,0,1,cluster3
539,1,2,0,1,0,1,cluster0
540,1,1,0,3,1,2,cluster3
541,0,3,0,1,0,1,cluster0
542,0,2,1,1,0,1,cluster0
543,1,3,0,2,0,2,cluster1
544,0,3,1,0,0,1,cluster2
545,0,3,1,1,0,1,cluster0
546,1,3,1,0,0,1,cluster2
547,1,3,0,0,0,1,cluster2
548,0,3,1,0,0,1,cluster2
549,0,3,1,0,0,1,cluster2
550,0,2,1,3,0,1,cluster0
551,0,3,1,3,0,8,cluster2
552,0,3,1,0,0,1,cluster2
553,0,3,1,0,0,1,cluster2
554,1,1,0,3,1,2,cluster3
555,0,3,1,1,0,1,cluster0
556,0,1,1,3,1,3,cluster3
557,1,1,0,3,1,2,cluster3
558,0,2,1,1,0,1,cluster0
559,1,3,1,0,0,1,cluster2
560,1,3,0,0,0,1,cluster2
561,1,3,0,2,0,4,cluster1
562,1,1,0,3,1,2,cluster3
563,1,1,0,3,1,2,cluster3
564,1,3,0,2,0,3,cluster1
565,1,3,0,0,0,1,cluster2
566,1,1,1,3,1,2,cluster3
567,1,2,0,1,0,1,cluster0
568,0,3,1,3,0,11,cluster2
569,1,3,0,3,0,7,cluster1
570,1,3,0,1,0,1,cluster0
571,0,1,1,2,1,1,cluster3
572,1,3,0,1,0,1,cluster0
573,1,1,0,3,0,2,cluster1
574,1,1,0,2,1,1,cluster3
575,1,1,1,3,1,1,cluster3
576,0,3,0,2,0,3,cluster1
577,1,2,0,2,0,2,cluster1
578,1,3,0,2,0,3,cluster1
579,0,3,1,2,0,4,cluster1
580,0,3,0,2,0,3,cluster1
581,0,2,1,1,0,1,cluster0
582,1,2,0,2,0,4,cluster1
583,0,2,1,2,0,2,cluster0
584,0,2,0,2,0,2,cluster1
585,0,2,1,1,0,1,cluster0
586,0,1,1,3,1,1,cluster3
587,1,2,0,1,1,1,cluster0
588,0,1,1,2,1,1,cluster3
589,1,3,1,1,1,1,cluster0
590,0,3,1,0,0,1,cluster2
591,1,2,0,3,0,4,cluster0
592,1,2,0,3,0,4,cluster0
593,1,1,0,3,1,1,cluster3
594,0,3,1,0,0,1,cluster2
595,0,3,1,1,0,1,cluster0
596,0,3,0,3,0,8,cluster1
597,0,3,1,2,0,2,cluster1
598,0,3,1,2,0,1,cluster2
599,0,3,0,2,0,2,cluster1
600,1,2,0,2,0,3,cluster1
601,1,1,0,3,1,2,cluster3
602,0,3,1,0,0,1,cluster2
603,1,1,1,2,1,1,cluster3
604,0,3,0,1,0,1,cluster0
605,0,3,0,0,0,1,cluster2
606,1,1,0,3,1,2,cluster3
607,1,3,0,3,0,7,cluster1
608,1,2,0,1,1,1,cluster0
609,1,1,0,3,1,1,cluster3
610,0,1,1,0,0,1,cluster2
611,0,3,0,3,0,7,cluster1
612,1,2,1,1,0,1,cluster0
613,0,3,1,0,0,1,cluster2
614,0,3,1,0,0,1,cluster2
615,0,3,1,0,0,1,cluster2
616,0,3,1,0,0,1,cluster2
617,0,3,1,1,0,1,cluster0
618,0,3,1,2,0,6,cluster1
619,1,1,0,3,1,1,cluster3
620,0,3,1,0,0,1,cluster2
621,1,3,0,0,0,1,cluster2
622,1,3,0,0,0,1,cluster2
623,1,1,0,3,1,5,cluster3
624,1,3,0,0,0,1,cluster2
625,0,3,0,3,0,8,cluster1
626,1,2,0,2,0,3,cluster1
627,0,3,1,2,0,3,cluster1
628,0,2,0,1,0,1,cluster0
629,1,1,0,3,1,1,cluster3
630,1,3,1,0,0,1,cluster2
631,0,3,1,0,0,1,cluster2
632,0,3,1,0,0,1,cluster2
633,0,3,1,1,0,1,cluster0
634,0,3,1,1,0,1,cluster0
635,0,2,1,2,0,2,cluster0
636,0,3,1,0,0,1,cluster2
637,0,2,1,1,0,1,cluster0
638,0,1,1,3,0,1,cluster3
639,0,1,1,0,1,1,cluster3
640,0,3,1,0,0,1,cluster2
641,1,2,0,2,0,2,cluster1
642,1,1,0,2,1,1,cluster3
643,0,3,1,0,0,3,cluster2
644,0,3,1,1,0,3,cluster0
645,1,1,1,3,1,3,cluster3
646,0,3,1,0,1,1,cluster2
647,1,1,1,3,1,3,cluster3
648,0,1,1,2,1,1,cluster3
649,0,3,0,3,0,5,cluster1
650,1,2,0,1,1,1,cluster0
651,1,3,1,1,0,1,cluster0
652,0,3,1,3,0,6,cluster2
653,1,1,0,3,1,2,cluster3
654,1,3,0,0,0,1,cluster2
655,1,2,0,3,0,4,cluster0
656,1,2,0,1,0,1,cluster0
657,0,3,1,1,0,1,cluster0
658,1,3,0,2,0,3,cluster1
659,0,2,1,2,0,1,cluster0
660,0,3,1,0,0,1,cluster2
661,1,1,0,3,1,3,cluster3
662,0,3,1,2,0,2,cluster1
663,0,2,1,0,0,1,cluster0
664,0,2,1,2,0,1,cluster0
665,0,3,1,0,0,1,cluster2
666,1,2,0,3,0,3,cluster0
667,0,3,1,0,0,1,cluster2
668,0,3,1,0,0,1,cluster2
669,0,2,1,1,0,1,cluster0
670,0,3,1,0,0,1,cluster2
671,1,2,0,2,0,1,cluster0
672,1,3,0,2,0,2,cluster1
673,0,3,1,2,0,4,cluster1
674,1,1,1,2,1,1,cluster3
675,1,3,1,1,0,1,cluster0
676,1,3,1,1,0,1,cluster0
677,0,3,1,0,0,1,cluster2
678,0,2,1,3,0,3,cluster0
679,0,3,1,1,0,1,cluster0
680,0,1,1,2,0,1,cluster0
681,1,2,0,2,0,3,cluster1
682,0,3,1,3,0,7,cluster2
683,1,1,1,2,0,1,cluster0
684,1,1,0,2,0,1,cluster1
685,0,3,1,0,0,1,cluster2
686,0,3,0,2,0,3,cluster1
687,0,3,1,0,0,1,cluster2
688,0,3,1,0,0,1,cluster2
689,0,3,1,1,0,1,cluster0
690,1,2,1,1,0,1,cluster0
691,0,3,1,0,0,1,cluster2
692,1,1,1,2,1,1,cluster3
693,0,1,1,2,1,1,cluster3
694,0,1,1,3,1,1,cluster3
695,0,1,1,3,1,1,cluster3
696,0,3,1,1,0,1,cluster0
697,1,1,1,2,1,1,cluster3
698,1,2,0,2,0,3,cluster1
699,1,3,1,1,0,1,cluster0
700,0,3,1,0,0,1,cluster2
701,0,2,1,1,0,1,cluster0
702,1,3,0,0,0,1,cluster2
703,0,1,1,3,1,1,cluster3
704,0,3,1,1,0,1,cluster0
705,1,3,0,2,0,2,cluster1
706,0,3,1,0,0,1,cluster2
707,0,3,1,1,0,1,cluster0
708,0,3,1,0,0,1,cluster2
709,1,1,0,3,1,2,cluster3
710,0,3,1,3,0,6,cluster2
711,1,2,0,1,0,1,cluster0
